PROJECT LINE COUNT REPORT
Generated: 2025-07-02 14:32:38
Project Path: dewetra2-frontend/
Total Files Analyzed: 414

SUMMARY BY LANGUAGE:
CSS: 34 files | 61672 lines
HTML: 113 files | 22653 lines
JSON: 6 files | 42079 lines
Markdown: 2 files | 41 lines
JavaScript: 259 files | 121198 lines

DETAILED FILE LIST:
Path | Total | Code | Blank | Comments | Language
dewetra2-frontend/portal-dewetra2/Gruntfile.js | 339 | 270 | 46 | 23 | JavaScript
dewetra2-frontend/portal-dewetra2/css/dewetraless_autpor.css | 4159 | 3793 | 11 | 355 | CSS
dewetra2-frontend/portal-dewetra2/css/dewetraless_mydewetra.css | 22431 | 21318 | 74 | 1039 | CSS
dewetra2-frontend/portal-dewetra2/css/docked.css | 285 | 277 | 2 | 6 | CSS
dewetra2-frontend/portal-dewetra2/css/drag&drop.css | 84 | 55 | 16 | 13 | CSS
dewetra2-frontend/portal-dewetra2/css/efas.css | 57 | 53 | 2 | 2 | CSS
dewetra2-frontend/portal-dewetra2/css/events.css | 347 | 277 | 0 | 70 | CSS
dewetra2-frontend/portal-dewetra2/css/gridtools.css | 718 | 643 | 20 | 55 | CSS
dewetra2-frontend/portal-dewetra2/css/ico_layers.html | 3882 | 3636 | 242 | 4 | HTML
dewetra2-frontend/portal-dewetra2/css/inspire-themes.css | 600 | 463 | 1 | 136 | CSS
dewetra2-frontend/portal-dewetra2/css/laminazione.css | 149 | 148 | 0 | 1 | CSS
dewetra2-frontend/portal-dewetra2/css/scenario_erra.css | 527 | 472 | 1 | 54 | CSS
dewetra2-frontend/portal-dewetra2/css/scenario_world.css | 604 | 486 | 19 | 99 | CSS
dewetra2-frontend/portal-dewetra2/css/seawetraless.css | 2140 | 1829 | 25 | 286 | CSS
dewetra2-frontend/portal-dewetra2/css/seawetraless_mydewetra.css | 22446 | 21457 | 71 | 918 | CSS
dewetra2-frontend/portal-dewetra2/css/sliderless.css | 84 | 83 | 0 | 1 | CSS
dewetra2-frontend/portal-dewetra2/css/style.css | 1050 | 1045 | 3 | 2 | CSS
dewetra2-frontend/portal-dewetra2/css/style_app.css | 186 | 181 | 3 | 2 | CSS
dewetra2-frontend/portal-dewetra2/css/style_layers.css | 1062 | 1056 | 3 | 3 | CSS
dewetra2-frontend/portal-dewetra2/fonts/dewetra/DEWETRA - COMPLEX.json | 15301 | 15301 | 0 | 0 | JSON
dewetra2-frontend/portal-dewetra2/fonts/dewetra/demo-files/demo.css | 152 | 151 | 1 | 0 | CSS
dewetra2-frontend/portal-dewetra2/fonts/dewetra/ico_app.html | 790 | 739 | 49 | 2 | HTML
dewetra2-frontend/portal-dewetra2/fonts/dewetra/ico_layer.html | 4873 | 4866 | 2 | 5 | HTML
dewetra2-frontend/portal-dewetra2/fonts/dewetra/selection.json | 3471 | 3471 | 0 | 0 | JSON
dewetra2-frontend/portal-dewetra2/fonts/icone-scenario/style.css | 764 | 762 | 0 | 2 | CSS
dewetra2-frontend/portal-dewetra2/fonts/icons_user/demo-files/demo.css | 152 | 151 | 1 | 0 | CSS
dewetra2-frontend/portal-dewetra2/fonts/icons_user/demo.html | 406 | 379 | 25 | 2 | HTML
dewetra2-frontend/portal-dewetra2/fonts/icons_user/selection.json | 976 | 976 | 0 | 0 | JSON
dewetra2-frontend/portal-dewetra2/fonts/icons_user/selection_acroweb.json | 2138 | 2138 | 0 | 0 | JSON
dewetra2-frontend/portal-dewetra2/fonts/icons_user/style.css | 97 | 92 | 3 | 2 | CSS
dewetra2-frontend/portal-dewetra2/fonts/icons_user/style_icomoon.css | 83 | 79 | 3 | 1 | CSS
dewetra2-frontend/portal-dewetra2/fonts/insipire_icons/css/inspire-themes-i18n.css | 2142 | 2142 | 0 | 0 | CSS
dewetra2-frontend/portal-dewetra2/fonts/insipire_icons/css/inspire-themes.css | 801 | 664 | 1 | 136 | CSS
dewetra2-frontend/portal-dewetra2/fonts/insipire_icons/demo-files/demo.css | 154 | 153 | 0 | 1 | CSS
dewetra2-frontend/portal-dewetra2/fonts/insipire_icons/index.html | 1294 | 1039 | 254 | 1 | HTML
dewetra2-frontend/portal-dewetra2/fonts/inspire/demo-files/demo.css | 152 | 151 | 1 | 0 | CSS
dewetra2-frontend/portal-dewetra2/fonts/inspire/index.html | 514 | 510 | 2 | 2 | HTML
dewetra2-frontend/portal-dewetra2/fonts/inspire/style.css | 164 | 159 | 3 | 2 | CSS
dewetra2-frontend/portal-dewetra2/index.html | 422 | 273 | 103 | 46 | HTML
dewetra2-frontend/portal-dewetra2/js/chart/autpor/AutporDustsChartService.js | 327 | 260 | 56 | 11 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/autpor/AutporTurbidityChartService.js | 314 | 247 | 55 | 12 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/damage/ProbabilisticDamageChartService.js | 356 | 247 | 85 | 24 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/droughtproofs/DroughtProofsCharts.js | 462 | 243 | 78 | 141 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/droughtproofs/LfiDroughtProofsCharts.js | 417 | 212 | 73 | 132 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/droughtproofs/TimeSeriesDroughtProofsChart.js | 412 | 282 | 87 | 43 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/fews/DeterministicHydrogramFewsChartService.js | 378 | 255 | 69 | 54 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/fews/DeterministicLevelHydrogramFewsChartService.js | 371 | 269 | 71 | 31 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/fews/MaximumHydrogramFewsChartService.js | 774 | 492 | 197 | 85 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/fews/MaximumLevelFewsHydrogramChartService.js | 833 | 525 | 211 | 97 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodWave/showHydrometerFloodWaveService.js | 506 | 351 | 104 | 51 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/DeterministicHydrogramChartService.js | 379 | 261 | 74 | 44 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/DeterministicHydrogramLevelChartService.js | 369 | 276 | 75 | 18 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/DeterministicLevelHydrogramChartService.js | 408 | 280 | 82 | 46 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/DeterministicLevelVolumeHydrogramChartService.js | 361 | 272 | 54 | 35 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/FANFAR_DeterministicHydrogramChartService.js | 374 | 278 | 74 | 22 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/MaximumHydrogramChartService.js | 801 | 514 | 200 | 87 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/MaximumLevelHydrogramChartService.js | 791 | 533 | 197 | 61 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/MaximumLevelVolumeHydrogramChartService.js | 497 | 382 | 101 | 14 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/MultiDeterministicHydrogramChartService.js | 357 | 259 | 78 | 20 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/NWP_GFS_DeterministicHydrogramChartService.js | 378 | 282 | 74 | 22 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/NWP_GFS_MaximumHydrogramChartService.js | 803 | 516 | 200 | 87 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/NWP_GFS_ProbabilisticHydrogramChartService.js | 353 | 244 | 85 | 24 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/ProbabilisticHydrogramChartService.js | 348 | 242 | 84 | 22 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/ProbabilisticLevelHydrogramChartService.js | 374 | 266 | 86 | 22 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/geocradle/GeocradleChemicalAnalysisChartService.js | 84 | 56 | 24 | 4 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/geocradle/GeocradleSoilSpectraChartService.js | 195 | 155 | 35 | 5 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/laminazione/dynamicRiverVolumeChartService.js | 383 | 263 | 84 | 36 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/laminazione/laminazioneConfluenzaPagliaTevereChartService.js | 875 | 684 | 90 | 101 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/laminazione/laminazioneConfluenzaValleBaschiChartService.js | 942 | 683 | 101 | 158 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/laminazione/laminazioneLevelChartService.js | 1291 | 1098 | 95 | 98 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/laminazione/laminazioneVolumeChartService.js | 1633 | 1436 | 90 | 107 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/laminazione/showTotalRiverVolumeChartService.js | 410 | 293 | 93 | 24 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/pheno/GSIChart.js | 213 | 178 | 29 | 6 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/pheno/PhenolPhaseCfrChartService.js | 296 | 245 | 45 | 6 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/pheno/SeasonAccumulatedChartService.js | 436 | 335 | 93 | 8 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/pheno/SeasonPhenolPhaseChartService.js | 340 | 219 | 50 | 71 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/pheno/TempCfrChartService.js | 228 | 181 | 41 | 6 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/sensor/AnemometerChartService.js | 616 | 383 | 101 | 132 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/sensor/BarometerChartService.js | 408 | 289 | 69 | 50 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/sensor/Fuel_moistureChartService.js | 410 | 293 | 70 | 47 | JavaScript
